Amplitude,Wave_Velocity,Travel_Time,Reflection_Strength,Fault_Presence,Layer_Thickness,Hydrocarbons_Present
1.935246582,3.271359841,1.93084001,0.549703219,1,55.26171125,0
4.758500101,3.630460467,1.731269272,0.772072095,0,39.7693275,0
3.686770315,5.345463269,0.963154171,0.606400103,0,306.0540559,0
3.033426573,3.030019737,3.075606683,0.174972325,0,483.396998,0
0.864491338,5.413423582,2.435458386,0.267022213,0,256.3334414,0
0.86437315,1.896604939,4.341934862,0.297395366,1,35.24246071,0
0.3846097,4.995592967,0.257336944,0.332077828,1,118.3971415,0
4.344263114,5.313964349,3.254952845,0.608863053,0,129.9485241,0
3.045463558,2.318179438,3.838449505,0.553569202,1,175.5499933,1
3.569555631,3.436559396,3.821484189,0.282844035,0,31.36565796,0
0.200864022,2.244748986,4.441762439,0.160799359,0,453.3974232,0
4.852558276,4.67971858,3.67226534,0.254288984,0,262.6263329,0
4.17896894,3.909064956,4.646269302,0.985943181,0,338.7560885,0
1.140461642,4.35895506,1.730017339,0.521692255,0,42.91469008,0
0.990942339,2.384191351,2.565726142,0.880610954,0,36.51657922,0
0.998682098,2.452856379,0.16899035,0.86387722,1,297.3692083,0
1.590786991,1.686737965,0.134092178,0.560367602,1,444.7750451,0
2.671306515,2.949303908,1.27662044,0.736018938,1,268.9561805,1
2.216530591,4.018850976,0.593955266,0.273476809,0,440.1313946,0
1.527022787,5.360707113,1.375035703,0.719557034,0,407.3857238,0
3.098079184,4.501173514,0.967512143,0.345146121,0,47.16835504,0
0.783519917,3.459283455,0.239748122,0.848855887,0,108.9591624,0
1.531508778,5.789040515,4.555590317,0.17535172,0,332.2782279,0
1.895173032,4.736603403,0.140293344,0.795824806,0,227.3156774,0
2.334742923,5.685743413,3.706802507,0.189943216,0,152.4429087,0
3.947362211,3.87414588,0.845524646,0.893070313,0,215.1305895,0
1.078401533,2.665069237,4.569925148,0.373784066,0,228.1478267,0
2.619748748,1.737720089,4.474700104,0.688954028,0,456.1706029,0
3.002831387,4.767381832,3.304115617,0.538752051,0,60.69455902,0
0.327607022,2.045863491,3.393947334,0.429672831,0,147.0680659,0
3.076969774,2.862488077,0.126161796,0.68089765,1,273.4067601,1
0.935568206,3.896119085,4.925870674,0.952770682,0,352.160594,0
0.418752806,4.039874645,4.401379758,0.137142773,1,319.0122716,0
4.749539133,4.202624386,4.486020506,0.92696757,0,471.4049415,0
4.831596962,2.248148987,3.330298232,0.64817349,0,399.8483732,0
4.061147006,3.208818322,1.78945595,0.826582871,1,282.9676526,1
1.592607469,4.277374022,4.478878381,0.445487458,0,115.1945189,0
0.578593359,5.864184891,1.528432948,0.524658677,0,230.9283734,0
3.45274183,4.77434012,2.857286562,0.881965677,1,349.7572997,0
2.256747219,5.651716907,0.588681764,0.473363173,0,420.6014657,0
0.697987351,4.929954262,4.617582588,0.58119361,0,480.27075,0
2.52636686,4.16272636,0.789775243,0.118175431,1,306.6718554,0
0.268503753,2.364105161,1.201994348,0.242738205,1,268.19049,0
4.55566997,4.500085434,2.834857375,0.677517857,0,18.66904233,0
1.36802191,4.305208047,3.844055701,0.745279211,0,45.32854388,0
3.346359193,4.211111267,3.134821399,0.624340843,1,86.49144884,0
1.627384273,3.704036406,1.237456173,0.228979033,0,36.83236628,0
2.648333304,3.878954718,0.104620908,0.500864886,0,206.422987,0
2.778880369,3.004991372,3.810037844,0.41958529,0,175.0704871,0
1.005786832,3.836907117,4.927515897,0.54609521,1,322.3035374,0
4.850964676,2.389001576,4.068574289,0.883296131,0,272.4759029,0
3.898150834,5.123284788,2.355012429,0.798275295,1,302.0256721,0
4.703544814,2.335996296,4.528459581,0.175590551,0,241.2688294,0
4.484654017,1.882348305,2.108253598,0.901278278,0,146.0912028,0
3.029709896,3.463107119,2.672177013,0.524590436,1,476.8844043,1
4.617183752,4.462383478,2.43793586,0.76947593,1,52.34048828,0
0.53361326,3.469725712,2.293356976,0.226035308,0,470.0565897,0
1.060316026,2.745393594,3.89843477,0.703647573,0,162.506643,0
0.321613716,4.011770328,2.681167646,0.312693416,1,261.2041082,0
1.694118621,3.061510509,1.651913898,0.494542807,0,63.33273819,0
2.004518719,5.697904606,1.364975022,0.115176583,0,44.7562235,0
1.429610256,5.651903128,0.284961853,0.236449574,0,220.4772699,0
4.160813795,3.76067319,2.957656293,0.182872444,1,373.4317144,1
1.848091301,2.975477973,1.226810935,0.315769756,1,141.988741,0
1.476579097,4.817095863,0.825856218,0.190016281,1,285.5504656,0
2.759210807,1.665208246,3.303766823,0.722719024,0,146.5386669,0
0.790528702,3.636460527,3.437925363,0.126135912,0,200.4203998,0
4.030765206,3.013455274,3.785558972,0.655966451,0,454.1586961,0
0.465298154,5.642411483,2.567526792,0.226637048,0,429.3614165,0
4.935745989,1.554013623,4.480867565,0.950645311,0,262.8485963,0
3.88399937,3.987666941,4.688079492,0.939784666,0,126.6717575,0
1.07370684,4.832986115,4.056117605,0.302952792,0,104.6601172,0
0.127058374,3.682580944,3.214408062,0.652979168,0,477.502803,0
4.095760999,1.884313636,1.588232673,0.125204788,0,109.3311323,0
3.563600985,5.876076255,4.916430116,0.938609689,1,406.0024723,0
3.672135123,3.831046941,1.443267219,0.570688577,0,190.7954027,0
3.879224699,4.263838099,1.093018918,0.138900836,0,492.9733253,0
0.462818793,2.564744022,2.266555158,0.408249994,0,190.3963128,0
1.85648207,3.675741383,0.378518796,0.169164516,1,182.2431462,0
0.667758392,3.431172714,4.894622877,0.453649995,0,322.3571782,0
4.329206787,1.837031289,2.983324426,0.702933708,0,481.1432352,0
3.154160821,1.977721591,2.829065249,0.522900917,0,488.3427068,0
